Project_ID,Description,Risk_Types
1369,"This is a Mixed-Use project in East Russell, Slovakia (Slovak Republic). Budget: 61.1M, Timeline: 16 months, Past Incidents: 3. The project is well-planned. involves heavy machinery",Safety
1370,"This is a Infrastructure project in Jessicaville, Montserrat. Budget: 51.6M, Timeline: 34 months, Past Incidents: 2. Stakeholders are actively involved. currency exchange risks",Budget Overrun
1371,"This is a Infrastructure project in Jamesmouth, Tunisia. Budget: 78.0M, Timeline: 26 months, Past Incidents: 4. The team is experienced. complex scheduling required waste management challenges","Delay,Environmental"
1372,"This is a Infrastructure project in North Cynthia, Cote d'Ivoire. Budget: 75.3M, Timeline: 49 months, Past Incidents: 3. The team is experienced. dependent on weather conditions currency exchange risks located in a sensitive ecosystem","Delay,Budget Overrun,Environmental"
1373,"This is a Commercial project in New Edward, Seychelles. Budget: 75.1M, Timeline: 42 months, Past Incidents: 5. The project is well-planned. has a tight deadline material prices are volatile potential for soil contamination","Delay,Budget Overrun,Environmental"
1374,"This is a Residential project in New Gavin, Burundi. Budget: 83.0M, Timeline: 54 months, Past Incidents: 2. The project is well-planned. has potential for accidents potential supply chain disruptions scope creep is likely high precision required","Safety,Delay,Budget Overrun,Quality Issue"
1375,"This is a Commercial project in Port Sherrichester, India. Budget: 10.5M, Timeline: 25 months, Past Incidents: 0. Stakeholders are actively involved. material prices are volatile",Budget Overrun
1376,"This is a Mixed-Use project in Lake Jeffberg, Belarus. Budget: 32.6M, Timeline: 11 months, Past Incidents: 2. The project is well-planned. involves heavy machinery may face permitting delays contingency budget is low","Safety,Delay,Budget Overrun"
1377,"This is a Commercial project in Castilloview, Bhutan. Budget: 43.4M, Timeline: 55 months, Past Incidents: 4. Stakeholders are actively involved. involves heavy machinery",Safety
1378,"This is a Residential project in Lake Michaela, Mali. Budget: 85.5M, Timeline: 48 months, Past Incidents: 5. The project is well-planned. needs strict safety protocols tight quality control needed","Safety,Quality Issue"
1379,"This is a Residential project in Mathewstown, Haiti. Budget: 5.4M, Timeline: 13 months, Past Incidents: 3. Stakeholders are actively involved. requires working at heights tight quality control needed","Safety,Quality Issue"
1380,"This is a Infrastructure project in East Connieshire, Liberia. Budget: 30.5M, Timeline: 41 months, Past Incidents: 4. Stakeholders are actively involved. has potential for accidents currency exchange risks","Safety,Budget Overrun"
1381,"This is a Mixed-Use project in Sarahmouth, Cuba. Budget: 8.1M, Timeline: 42 months, Past Incidents: 2. The team is experienced. requires working at heights potential supply chain disruptions material prices are volatile","Safety,Delay,Budget Overrun"
1382,"This is a Mixed-Use project in Jamesberg, Albania. Budget: 94.8M, Timeline: 17 months, Past Incidents: 4. The project follows standard practices. needs strict safety protocols potential supply chain disruptions","Safety,Delay"
1383,"This is a Residential project in Steveshire, Mexico. Budget: 10.2M, Timeline: 34 months, Past Incidents: 1. The project is well-planned. currency exchange risks",Budget Overrun
1384,"This is a Mixed-Use project in Tinaborough, Panama. Budget: 49.0M, Timeline: 27 months, Past Incidents: 5. The project is well-planned. complex scheduling required unproven subcontractors","Delay,Quality Issue"
1385,"This is a Mixed-Use project in South David, Cuba. Budget: 21.7M, Timeline: 50 months, Past Incidents: 2. The project follows standard practices. potential supply chain disruptions high precision required","Delay,Quality Issue"
1386,"This is a Industrial project in New Adamburgh, United Kingdom. Budget: 53.5M, Timeline: 51 months, Past Incidents: 4. The team is experienced. contingency budget is low unproven subcontractors waste management challenges","Budget Overrun,Quality Issue,Environmental"
1387,"This is a Commercial project in West Christopherfurt, Falkland Islands (Malvinas). Budget: 20.8M, Timeline: 51 months, Past Incidents: 4. The project follows standard practices. has potential for accidents material prices are volatile uses new construction techniques","Safety,Budget Overrun,Quality Issue"
1388,"This is a Industrial project in Joeland, Bahamas. Budget: 45.8M, Timeline: 19 months, Past Incidents: 2. The team is experienced. complex scheduling required",Delay
1389,"This is a Industrial project in South Daniel, Malta. Budget: 49.0M, Timeline: 15 months, Past Incidents: 1. The project is well-planned. has potential for accidents",Safety
1390,"This is a Commercial project in Theresabury, Mali. Budget: 91.8M, Timeline: 44 months, Past Incidents: 5. The team is experienced. needs strict safety protocols may face permitting delays","Safety,Delay"
1391,"This is a Commercial project in Matthewfort, Syrian Arab Republic. Budget: 73.2M, Timeline: 52 months, Past Incidents: 0. The project is well-planned. scope creep is likely",Budget Overrun
1392,"This is a Commercial project in Bakermouth, Oman. Budget: 56.0M, Timeline: 21 months, Past Incidents: 1. The team is experienced. unproven subcontractors waste management challenges","Quality Issue,Environmental"
1393,"This is a Industrial project in Petersenberg, Morocco. Budget: 21.5M, Timeline: 60 months, Past Incidents: 4. The project follows standard practices. uses new construction techniques strict environmental regulations","Quality Issue,Environmental"
1394,"This is a Commercial project in Mooreton, Australia. Budget: 16.9M, Timeline: 11 months, Past Incidents: 5. Stakeholders are actively involved. may face permitting delays material prices are volatile","Delay,Budget Overrun"
1395,"This is a Mixed-Use project in Tammiestad, Sierra Leone. Budget: 71.0M, Timeline: 46 months, Past Incidents: 1. Stakeholders are actively involved. dependent on weather conditions contingency budget is low complex design","Delay,Budget Overrun,Quality Issue"
1396,"This is a Industrial project in Christophermouth, Mexico. Budget: 40.7M, Timeline: 40 months, Past Incidents: 2. The project is well-planned. located in a high-risk area strict environmental regulations","Safety,Environmental"
1397,"This is a Infrastructure project in Webbton, Ukraine. Budget: 58.8M, Timeline: 46 months, Past Incidents: 2. The team is experienced. requires working at heights uses new construction techniques","Safety,Quality Issue"
1398,"This is a Mixed-Use project in Shawnfurt, Marshall Islands. Budget: 83.5M, Timeline: 25 months, Past Incidents: 5. The team is experienced. uses new construction techniques",Quality Issue
1399,"This is a Mixed-Use project in Johnbury, Northern Mariana Islands. Budget: 55.3M, Timeline: 22 months, Past Incidents: 1. Stakeholders are actively involved. located in a high-risk area dependent on weather conditions","Safety,Delay"
1400,"This is a Mixed-Use project in Jayport, Korea. Budget: 3.6M, Timeline: 34 months, Past Incidents: 3. The team is experienced. unproven subcontractors strict environmental regulations","Quality Issue,Environmental"
1401,"This is a Mixed-Use project in Erinville, Northern Mariana Islands. Budget: 73.2M, Timeline: 50 months, Past Incidents: 3. Stakeholders are actively involved. has a tight deadline",Delay
1402,"This is a Residential project in West Brentside, Yemen. Budget: 12.7M, Timeline: 7 months, Past Incidents: 2. The project follows standard practices. contingency budget is low",Budget Overrun
1403,"This is a Industrial project in South Sarahton, Portugal. Budget: 25.5M, Timeline: 21 months, Past Incidents: 3. Stakeholders are actively involved. high carbon footprint",Environmental
1404,"This is a Infrastructure project in Meredithborough, New Caledonia. Budget: 91.1M, Timeline: 32 months, Past Incidents: 3. The project is well-planned. has potential for accidents potential for soil contamination","Safety,Environmental"
1405,"This is a Commercial project in Lake Scottview, Isle of Man. Budget: 59.4M, Timeline: 13 months, Past Incidents: 5. The project follows standard practices. dependent on weather conditions high carbon footprint","Delay,Environmental"
1406,"This is a Infrastructure project in North Jenniferstad, Iraq. Budget: 95.5M, Timeline: 59 months, Past Incidents: 1. The team is experienced. needs strict safety protocols",Safety
1407,"This is a Residential project in South Kim, Thailand. Budget: 38.1M, Timeline: 41 months, Past Incidents: 3. The project is well-planned. involves heavy machinery",Safety
1408,"This is a Commercial project in Port Maryside, Nauru. Budget: 14.3M, Timeline: 25 months, Past Incidents: 5. The project follows standard practices. has a tight deadline",Delay
1409,"This is a Mixed-Use project in Clairefurt, Svalbard & Jan Mayen Islands. Budget: 79.2M, Timeline: 21 months, Past Incidents: 0. The team is experienced. high carbon footprint",Environmental
1410,"This is a Commercial project in New Amy, Fiji. Budget: 83.1M, Timeline: 35 months, Past Incidents: 2. The project follows standard practices. may face permitting delays scope creep is likely","Delay,Budget Overrun"
1411,"This is a Industrial project in South Johnstad, Slovenia. Budget: 58.7M, Timeline: 17 months, Past Incidents: 2. Stakeholders are actively involved. has potential for accidents complex design strict environmental regulations","Safety,Quality Issue,Environmental"
1412,"This is a Infrastructure project in Lake Chelseyside, South Africa. Budget: 16.3M, Timeline: 58 months, Past Incidents: 5. The team is experienced. needs strict safety protocols",Safety
1413,"This is a Industrial project in South Betty, Norfolk Island. Budget: 80.3M, Timeline: 35 months, Past Incidents: 0. The team is experienced. located in a sensitive ecosystem",Environmental
1414,"This is a Infrastructure project in Lake Shirleyview, French Guiana. Budget: 29.1M, Timeline: 57 months, Past Incidents: 3. The team is experienced. located in a high-risk area",Safety
1415,"This is a Residential project in West Markbury, Uganda. Budget: 76.5M, Timeline: 8 months, Past Incidents: 3. The project follows standard practices. complex scheduling required material prices are volatile complex design located in a sensitive ecosystem","Delay,Budget Overrun,Quality Issue,Environmental"
1416,"This is a Residential project in Lake Josephbury, Solomon Islands. Budget: 65.0M, Timeline: 21 months, Past Incidents: 3. The project follows standard practices. may face permitting delays uses new construction techniques","Delay,Quality Issue"
1417,"This is a Mixed-Use project in Bobbyton, Libyan Arab Jamahiriya. Budget: 74.2M, Timeline: 27 months, Past Incidents: 1. The project follows standard practices. may face permitting delays contingency budget is low potential for soil contamination","Delay,Budget Overrun,Environmental"
1418,"This is a Infrastructure project in Griffithstad, Norway. Budget: 81.6M, Timeline: 26 months, Past Incidents: 0. The team is experienced. strict environmental regulations",Environmental
1419,"This is a Mixed-Use project in Loriborough, Latvia. Budget: 69.5M, Timeline: 12 months, Past Incidents: 4. The project follows standard practices. needs strict safety protocols has a tight deadline uncertain cost estimates tight quality control needed potential for soil contamination","Safety,Delay,Budget Overrun,Quality Issue,Environmental"
1420,"This is a Mixed-Use project in Cuevasport, Spain. Budget: 51.1M, Timeline: 19 months, Past Incidents: 1. The project follows standard practices. has a tight deadline",Delay
1421,"This is a Mixed-Use project in Lake Jason, Guam. Budget: 37.9M, Timeline: 38 months, Past Incidents: 5. Stakeholders are actively involved. currency exchange risks",Budget Overrun
1422,"This is a Residential project in Port Brandi, Turks and Caicos Islands. Budget: 51.5M, Timeline: 19 months, Past Incidents: 1. The project is well-planned. has potential for accidents potential supply chain disruptions contingency budget is low","Safety,Delay,Budget Overrun"
1423,"This is a Commercial project in South Haleyfurt, Equatorial Guinea. Budget: 98.2M, Timeline: 19 months, Past Incidents: 4. The team is experienced. strict environmental regulations",Environmental
1424,"This is a Residential project in Wandaberg, Panama. Budget: 6.8M, Timeline: 33 months, Past Incidents: 5. The project is well-planned. material prices are volatile uses new construction techniques","Budget Overrun,Quality Issue"
1425,"This is a Residential project in Hortonfort, Bahamas. Budget: 74.3M, Timeline: 40 months, Past Incidents: 1. The project is well-planned. may face permitting delays uncertain cost estimates unproven subcontractors","Delay,Budget Overrun,Quality Issue"
1426,"This is a Infrastructure project in North Kyleview, Bahamas. Budget: 20.2M, Timeline: 59 months, Past Incidents: 5. The project is well-planned. involves heavy machinery uses new construction techniques","Safety,Quality Issue"
1427,"This is a Mixed-Use project in Port Brenda, Trinidad and Tobago. Budget: 4.1M, Timeline: 48 months, Past Incidents: 2. The team is experienced. dependent on weather conditions contingency budget is low complex design","Delay,Budget Overrun,Quality Issue"
1428,"This is a Infrastructure project in Barrettland, Namibia. Budget: 38.1M, Timeline: 36 months, Past Incidents: 0. The team is experienced. needs strict safety protocols complex scheduling required uses new construction techniques strict environmental regulations","Safety,Delay,Quality Issue,Environmental"
1429,"This is a Infrastructure project in Diazhaven, Honduras. Budget: 35.1M, Timeline: 10 months, Past Incidents: 4. The project is well-planned. requires working at heights",Safety
1430,"This is a Infrastructure project in Camposbury, Ghana. Budget: 17.3M, Timeline: 53 months, Past Incidents: 4. The project follows standard practices. requires working at heights material prices are volatile uses new construction techniques","Safety,Budget Overrun,Quality Issue"
1431,"This is a Commercial project in North Marissa, French Southern Territories. Budget: 2.6M, Timeline: 59 months, Past Incidents: 1. Stakeholders are actively involved. material prices are volatile unproven subcontractors","Budget Overrun,Quality Issue"
1432,"This is a Residential project in New Deborah, Nauru. Budget: 81.6M, Timeline: 46 months, Past Incidents: 4. Stakeholders are actively involved. potential supply chain disruptions scope creep is likely complex design","Delay,Budget Overrun,Quality Issue"
1433,"This is a Residential project in Wiseton, United Kingdom. Budget: 50.6M, Timeline: 58 months, Past Incidents: 4. Stakeholders are actively involved. requires working at heights currency exchange risks high precision required high carbon footprint","Safety,Budget Overrun,Quality Issue,Environmental"
1434,"This is a Infrastructure project in North Tinaville, Slovakia (Slovak Republic). Budget: 79.5M, Timeline: 21 months, Past Incidents: 1. The team is experienced. potential supply chain disruptions uncertain cost estimates","Delay,Budget Overrun"
1435,"This is a Mixed-Use project in South Kathleen, Bouvet Island (Bouvetoya). Budget: 33.1M, Timeline: 21 months, Past Incidents: 5. The project follows standard practices. potential supply chain disruptions uncertain cost estimates","Delay,Budget Overrun"
1436,"This is a Infrastructure project in North Michael, Algeria. Budget: 56.2M, Timeline: 13 months, Past Incidents: 2. The project follows standard practices. requires working at heights potential for soil contamination","Safety,Environmental"
1437,"This is a Residential project in Susanshire, Slovenia. Budget: 50.7M, Timeline: 42 months, Past Incidents: 1. The team is experienced. involves heavy machinery complex scheduling required uncertain cost estimates complex design potential for soil contamination","Safety,Delay,Budget Overrun,Quality Issue,Environmental"
1438,"This is a Industrial project in South Soniamouth, Zambia. Budget: 6.5M, Timeline: 58 months, Past Incidents: 2. Stakeholders are actively involved. involves heavy machinery material prices are volatile tight quality control needed strict environmental regulations","Safety,Budget Overrun,Quality Issue,Environmental"
1439,"This is a Residential project in Sanchezburgh, Cook Islands. Budget: 37.5M, Timeline: 41 months, Past Incidents: 4. The project is well-planned. potential supply chain disruptions scope creep is likely","Delay,Budget Overrun"
1440,"This is a Industrial project in Hudsonview, Haiti. Budget: 15.8M, Timeline: 20 months, Past Incidents: 0. Stakeholders are actively involved. uses new construction techniques",Quality Issue
1441,"This is a Industrial project in Andrewshire, Zimbabwe. Budget: 74.8M, Timeline: 30 months, Past Incidents: 5. The team is experienced. needs strict safety protocols uncertain cost estimates high precision required","Safety,Budget Overrun,Quality Issue"
1442,"This is a Infrastructure project in Lake Teresashire, South Georgia and the South Sandwich Islands. Budget: 45.9M, Timeline: 29 months, Past Incidents: 0. The project is well-planned. may face permitting delays contingency budget is low","Delay,Budget Overrun"
1443,"This is a Infrastructure project in Connerberg, Botswana. Budget: 59.4M, Timeline: 9 months, Past Incidents: 4. The project is well-planned. potential supply chain disruptions",Delay
1444,"This is a Industrial project in Paulview, Madagascar. Budget: 46.9M, Timeline: 21 months, Past Incidents: 5. The project follows standard practices. requires working at heights currency exchange risks tight quality control needed","Safety,Budget Overrun,Quality Issue"
1445,"This is a Mixed-Use project in Lake Claytonfurt, Tokelau. Budget: 94.1M, Timeline: 55 months, Past Incidents: 0. Stakeholders are actively involved. potential supply chain disruptions",Delay
1446,"This is a Commercial project in Sarahfort, Myanmar. Budget: 46.7M, Timeline: 39 months, Past Incidents: 5. The team is experienced. dependent on weather conditions scope creep is likely complex design located in a sensitive ecosystem","Delay,Budget Overrun,Quality Issue,Environmental"
1447,"This is a Industrial project in Moraleston, Cyprus. Budget: 37.4M, Timeline: 31 months, Past Incidents: 0. The team is experienced. requires working at heights waste management challenges","Safety,Environmental"
1448,"This is a Industrial project in South Curtisview, Saint Lucia. Budget: 85.4M, Timeline: 39 months, Past Incidents: 5. The project follows standard practices. waste management challenges",Environmental
1449,"This is a Residential project in Toddchester, Suriname. Budget: 7.2M, Timeline: 44 months, Past Incidents: 1. Stakeholders are actively involved. involves heavy machinery",Safety
1450,"This is a Industrial project in South Jeffreyland, Northern Mariana Islands. Budget: 43.6M, Timeline: 39 months, Past Incidents: 3. The project follows standard practices. located in a high-risk area complex design located in a sensitive ecosystem","Safety,Quality Issue,Environmental"
1451,"This is a Industrial project in West Lisa, Tuvalu. Budget: 51.5M, Timeline: 8 months, Past Incidents: 3. The project is well-planned. needs strict safety protocols may face permitting delays high carbon footprint","Safety,Delay,Environmental"
1452,"This is a Infrastructure project in Younghaven, Wallis and Futuna. Budget: 60.7M, Timeline: 32 months, Past Incidents: 1. The project is well-planned. involves heavy machinery high carbon footprint","Safety,Environmental"
1453,"This is a Industrial project in North Reginamouth, Hungary. Budget: 9.2M, Timeline: 59 months, Past Incidents: 0. Stakeholders are actively involved. has potential for accidents may face permitting delays waste management challenges","Safety,Delay,Environmental"
1454,"This is a Mixed-Use project in Lake Joshuachester, Falkland Islands (Malvinas). Budget: 79.7M, Timeline: 43 months, Past Incidents: 2. The project is well-planned. contingency budget is low complex design","Budget Overrun,Quality Issue"
1455,"This is a Mixed-Use project in Tylershire, Cuba. Budget: 42.2M, Timeline: 23 months, Past Incidents: 2. The project is well-planned. needs strict safety protocols strict environmental regulations","Safety,Environmental"
1456,"This is a Industrial project in Grahamport, Brazil. Budget: 66.4M, Timeline: 44 months, Past Incidents: 0. The project is well-planned. potential for soil contamination",Environmental
1457,"This is a Industrial project in Sheilaborough, Netherlands. Budget: 17.1M, Timeline: 45 months, Past Incidents: 4. The project follows standard practices. may face permitting delays currency exchange risks potential for soil contamination","Delay,Budget Overrun,Environmental"
1458,"This is a Industrial project in Laraborough, Norfolk Island. Budget: 75.0M, Timeline: 40 months, Past Incidents: 1. The team is experienced. unproven subcontractors",Quality Issue
1459,"This is a Industrial project in Port Josephberg, Oman. Budget: 55.7M, Timeline: 22 months, Past Incidents: 1. Stakeholders are actively involved. complex scheduling required contingency budget is low waste management challenges","Delay,Budget Overrun,Environmental"
1460,"This is a Commercial project in West Diana, Martinique. Budget: 40.0M, Timeline: 12 months, Past Incidents: 5. The project follows standard practices. may face permitting delays",Delay
1461,"This is a Residential project in South Seth, Haiti. Budget: 46.2M, Timeline: 25 months, Past Incidents: 3. The team is experienced. uncertain cost estimates complex design high carbon footprint","Budget Overrun,Quality Issue,Environmental"
1462,"This is a Commercial project in Youngland, Anguilla. Budget: 64.4M, Timeline: 49 months, Past Incidents: 0. The project follows standard practices. scope creep is likely high precision required","Budget Overrun,Quality Issue"
1463,"This is a Mixed-Use project in Sarafurt, Swaziland. Budget: 88.3M, Timeline: 16 months, Past Incidents: 1. The project is well-planned. needs strict safety protocols may face permitting delays contingency budget is low","Safety,Delay,Budget Overrun"
1464,"This is a Residential project in West Franciston, Bermuda. Budget: 46.6M, Timeline: 15 months, Past Incidents: 4. The project follows standard practices. requires working at heights has a tight deadline high precision required potential for soil contamination","Safety,Delay,Quality Issue,Environmental"
1465,"This is a Infrastructure project in Wrightmouth, Anguilla. Budget: 82.3M, Timeline: 7 months, Past Incidents: 2. The team is experienced. located in a high-risk area",Safety
1466,"This is a Industrial project in Ronaldton, Mexico. Budget: 7.3M, Timeline: 43 months, Past Incidents: 2. The project is well-planned. requires working at heights uncertain cost estimates high precision required","Safety,Budget Overrun,Quality Issue"
1467,"This is a Industrial project in Lake Stevenland, Holy See (Vatican City State). Budget: 63.2M, Timeline: 57 months, Past Incidents: 3. The project is well-planned. involves heavy machinery",Safety
1468,"This is a Commercial project in North Heather, Greece. Budget: 91.2M, Timeline: 43 months, Past Incidents: 2. The project follows standard practices. has potential for accidents uncertain cost estimates","Safety,Budget Overrun"
1469,"This is a Residential project in Lake Aaron, Costa Rica. Budget: 41.5M, Timeline: 34 months, Past Incidents: 3. The project is well-planned. dependent on weather conditions",Delay
1470,"This is a Commercial project in Mcculloughville, Brunei Darussalam. Budget: 23.2M, Timeline: 12 months, Past Incidents: 1. The project is well-planned. has potential for accidents",Safety
1471,"This is a Mixed-Use project in Lake Philip, Iraq. Budget: 44.6M, Timeline: 8 months, Past Incidents: 5. The project is well-planned. requires working at heights potential supply chain disruptions","Safety,Delay"
1472,"This is a Infrastructure project in Port Matthew, Jordan. Budget: 5.4M, Timeline: 60 months, Past Incidents: 3. Stakeholders are actively involved. requires working at heights unproven subcontractors located in a sensitive ecosystem","Safety,Quality Issue,Environmental"
1473,"This is a Residential project in West Matthew, Dominica. Budget: 74.3M, Timeline: 52 months, Past Incidents: 4. The project follows standard practices. needs strict safety protocols complex scheduling required material prices are volatile tight quality control needed","Safety,Delay,Budget Overrun,Quality Issue"
1474,"This is a Infrastructure project in East Toniton, Mozambique. Budget: 42.6M, Timeline: 12 months, Past Incidents: 0. The project follows standard practices. involves heavy machinery currency exchange risks","Safety,Budget Overrun"
1475,"This is a Mixed-Use project in Jenkinsberg, Kenya. Budget: 17.1M, Timeline: 33 months, Past Incidents: 3. The project follows standard practices. requires working at heights has a tight deadline material prices are volatile","Safety,Delay,Budget Overrun"
1476,"This is a Commercial project in East Makayla, Palau. Budget: 67.3M, Timeline: 50 months, Past Incidents: 4. The project is well-planned. has potential for accidents has a tight deadline","Safety,Delay"
1477,"This is a Mixed-Use project in Maxwelltown, Croatia. Budget: 97.2M, Timeline: 30 months, Past Incidents: 1. The project is well-planned. complex scheduling required",Delay
1478,"This is a Industrial project in Port Saraborough, Fiji. Budget: 84.0M, Timeline: 48 months, Past Incidents: 3. The project follows standard practices. located in a high-risk area has a tight deadline currency exchange risks waste management challenges","Safety,Delay,Budget Overrun,Environmental"
1479,"This is a Commercial project in Shanebury, Jamaica. Budget: 63.0M, Timeline: 20 months, Past Incidents: 2. The project is well-planned. has a tight deadline material prices are volatile complex design","Delay,Budget Overrun,Quality Issue"
1480,"This is a Commercial project in Lake Marissafort, Antarctica (the territory South of 60 deg S). Budget: 85.6M, Timeline: 27 months, Past Incidents: 2. The team is experienced. involves heavy machinery complex scheduling required contingency budget is low uses new construction techniques","Safety,Delay,Budget Overrun,Quality Issue"
1481,"This is a Industrial project in Fitzpatrickville, Andorra. Budget: 68.2M, Timeline: 54 months, Past Incidents: 3. Stakeholders are actively involved. has a tight deadline currency exchange risks potential for soil contamination","Delay,Budget Overrun,Environmental"
1482,"This is a Infrastructure project in Lisaville, Barbados. Budget: 9.5M, Timeline: 50 months, Past Incidents: 2. Stakeholders are actively involved. may face permitting delays",Delay
1483,"This is a Commercial project in South Kimberlyberg, Papua New Guinea. Budget: 19.6M, Timeline: 39 months, Past Incidents: 1. The project follows standard practices. has potential for accidents tight quality control needed","Safety,Quality Issue"
1484,"This is a Infrastructure project in Port Julieport, Israel. Budget: 90.0M, Timeline: 40 months, Past Incidents: 0. The team is experienced. involves heavy machinery may face permitting delays","Safety,Delay"
1485,"This is a Infrastructure project in Larsenburgh, Philippines. Budget: 3.5M, Timeline: 42 months, Past Incidents: 0. The project is well-planned. has potential for accidents may face permitting delays","Safety,Delay"
1486,"This is a Commercial project in Maxwellhaven, Denmark. Budget: 15.6M, Timeline: 47 months, Past Incidents: 4. Stakeholders are actively involved. located in a high-risk area",Safety
1487,"This is a Commercial project in New Mark, Pakistan. Budget: 86.0M, Timeline: 43 months, Past Incidents: 5. The team is experienced. material prices are volatile strict environmental regulations","Budget Overrun,Environmental"
1488,"This is a Industrial project in Johnsonshire, Cote d'Ivoire. Budget: 51.3M, Timeline: 41 months, Past Incidents: 3. The project is well-planned. requires working at heights strict environmental regulations","Safety,Environmental"
1489,"This is a Infrastructure project in New Johnside, Heard Island and McDonald Islands. Budget: 22.5M, Timeline: 13 months, Past Incidents: 3. Stakeholders are actively involved. complex design high carbon footprint","Quality Issue,Environmental"
1490,"This is a Infrastructure project in West Catherine, Honduras. Budget: 26.1M, Timeline: 35 months, Past Incidents: 0. The team is experienced. has potential for accidents has a tight deadline tight quality control needed","Safety,Delay,Quality Issue"
1491,"This is a Infrastructure project in Port Veronica, Kiribati. Budget: 85.2M, Timeline: 12 months, Past Incidents: 4. Stakeholders are actively involved. needs strict safety protocols dependent on weather conditions potential for soil contamination","Safety,Delay,Environmental"
1492,"This is a Residential project in North Jacqueline, Latvia. Budget: 8.6M, Timeline: 53 months, Past Incidents: 4. Stakeholders are actively involved. complex scheduling required tight quality control needed","Delay,Quality Issue"
1493,"This is a Residential project in New Rachelborough, Sweden. Budget: 94.5M, Timeline: 27 months, Past Incidents: 5. The team is experienced. has a tight deadline uses new construction techniques","Delay,Quality Issue"
1494,"This is a Mixed-Use project in East Meganfurt, Moldova. Budget: 65.4M, Timeline: 25 months, Past Incidents: 2. The team is experienced. involves heavy machinery",Safety
1495,"This is a Residential project in South James, Martinique. Budget: 52.9M, Timeline: 32 months, Past Incidents: 0. The team is experienced. complex design",Quality Issue
1496,"This is a Industrial project in North Eileen, Djibouti. Budget: 45.4M, Timeline: 41 months, Past Incidents: 4. The team is experienced. material prices are volatile located in a sensitive ecosystem","Budget Overrun,Environmental"
1497,"This is a Infrastructure project in New Lisa, Argentina. Budget: 58.2M, Timeline: 27 months, Past Incidents: 4. Stakeholders are actively involved. requires working at heights potential supply chain disruptions located in a sensitive ecosystem","Safety,Delay,Environmental"
1498,"This is a Industrial project in Emilyville, Mexico. Budget: 74.0M, Timeline: 12 months, Past Incidents: 5. The project follows standard practices. located in a high-risk area potential supply chain disruptions scope creep is likely","Safety,Delay,Budget Overrun"
1499,"This is a Mixed-Use project in Emilyhaven, Argentina. Budget: 37.6M, Timeline: 16 months, Past Incidents: 1. The team is experienced. currency exchange risks unproven subcontractors strict environmental regulations","Budget Overrun,Quality Issue,Environmental"
1500,"This is a Infrastructure project in Lisahaven, Gibraltar. Budget: 94.0M, Timeline: 40 months, Past Incidents: 2. The team is experienced. involves heavy machinery potential supply chain disruptions currency exchange risks potential for soil contamination","Safety,Delay,Budget Overrun,Environmental"
1501,"This is a Commercial project in Aprilchester, Equatorial Guinea. Budget: 74.1M, Timeline: 8 months, Past Incidents: 2. Stakeholders are actively involved. may face permitting delays",Delay
1502,"This is a Infrastructure project in New Jose, Tunisia. Budget: 70.5M, Timeline: 27 months, Past Incidents: 4. Stakeholders are actively involved. high carbon footprint",Environmental
1503,"This is a Industrial project in Jonathanport, Iceland. Budget: 62.9M, Timeline: 44 months, Past Incidents: 4. Stakeholders are actively involved. involves heavy machinery currency exchange risks","Safety,Budget Overrun"
1504,"This is a Mixed-Use project in Sarahfort, Marshall Islands. Budget: 19.2M, Timeline: 48 months, Past Incidents: 2. The project follows standard practices. has a tight deadline uses new construction techniques located in a sensitive ecosystem","Delay,Quality Issue,Environmental"
1505,"This is a Residential project in Brianborough, Maldives. Budget: 44.0M, Timeline: 34 months, Past Incidents: 5. The project follows standard practices. has a tight deadline",Delay
1506,"This is a Infrastructure project in West Amyshire, Gabon. Budget: 23.0M, Timeline: 11 months, Past Incidents: 4. Stakeholders are actively involved. has potential for accidents dependent on weather conditions","Safety,Delay"
1507,"This is a Mixed-Use project in New John, South Africa. Budget: 23.3M, Timeline: 39 months, Past Incidents: 0. Stakeholders are actively involved. high precision required",Quality Issue
1508,"This is a Industrial project in Port Nicole, Macao. Budget: 42.2M, Timeline: 17 months, Past Incidents: 5. The project follows standard practices. material prices are volatile waste management challenges","Budget Overrun,Environmental"
1509,"This is a Residential project in Ericville, Comoros. Budget: 14.2M, Timeline: 41 months, Past Incidents: 4. The project follows standard practices. complex scheduling required scope creep is likely unproven subcontractors","Delay,Budget Overrun,Quality Issue"
1510,"This is a Industrial project in Port Jessica, United States of America. Budget: 48.4M, Timeline: 55 months, Past Incidents: 5. Stakeholders are actively involved. waste management challenges",Environmental
1511,"This is a Residential project in Johnberg, Tuvalu. Budget: 50.6M, Timeline: 21 months, Past Incidents: 4. The project follows standard practices. potential for soil contamination",Environmental
1512,"This is a Mixed-Use project in Robinberg, Nepal. Budget: 97.1M, Timeline: 41 months, Past Incidents: 5. The team is experienced. uncertain cost estimates",Budget Overrun
1513,"This is a Industrial project in Brittanymouth, French Guiana. Budget: 63.8M, Timeline: 9 months, Past Incidents: 5. The project is well-planned. involves heavy machinery complex scheduling required unproven subcontractors high carbon footprint","Safety,Delay,Quality Issue,Environmental"
1514,"This is a Infrastructure project in Port Alexandra, Malaysia. Budget: 79.1M, Timeline: 50 months, Past Incidents: 3. The project is well-planned. high precision required",Quality Issue
